"","AMD.returns","CDNS.returns","CPRT.returns","ETSY.returns","IDXX.returns","MSCI.returns","NVDA.returns","PAYC.returns","SNPS.returns","WST.returns"
"1",0,0,0,0,0,0,0,0,0,0
"2",-0.00722021660649819,0.00048709203667352,0.00185824263339529,0.0327669902912622,0.00998311262725893,0.00750607104178225,0.0160644033913067,-0.0305810945070589,0.00111315677262502,-0.0126736009893634
"3",-0.0872727272727274,-0.0165530663800844,-0.0182829888712243,0.0340775558166864,-0.00710012509814495,-0.0077315601582667,-0.0413503443412693,0.00344143973161559,-0.0146764506409507,0.00668207516997077
"4",-0.0916334661354582,-0.0222772761248874,-0.0375168690958165,-0.0147727272727274,-0.0211722097588334,-0.0155830231778343,-0.039644834580534,0.0157187473153044,-0.0232453616961101,-0.0220090303231703
"5",-0.0614035087719297,-0.0258227848101267,-0.0159842961301175,-0.0334486735870818,-0.0101704629758046,-0.0142463416269416,-0.0214661109465235,-0.0641531495736309,-0.0214880088144179,-0.00982298725104047
"6",0.0934579439252334,0.00207905405405406,0.00113992590481615,-0.112171837708831,-0.00911717826677805,-0.00540139646075555,0.0016875582703213,-0.00901981413227981,-0.0061392682946525,-0.00432884481877271
"7",0.0213675213675215,-0.00726151414618703,0.00113862795331632,-0.0120967741935485,0.0115379142465619,0.0157049959836866,0.0168463240789236,0.00819177816115801,-0.0016631028747921,0.0155797669049313
"8",-0.0585774058577406,-0.0250783189696091,-0.0187659937446688,-0.0489795918367346,-0.0268553269750123,-0.0208089688634628,-0.0304838663486884,-0.0701173638278664,-0.0354593288910044,-0.00463806321251292
"9",-0.0177777777777778,0.0385851554126475,0.00782381918284569,0.011444921316166,0.010385697021196,0.0035419545421318,-0.0201637921379775,0.0294498058252428,0.0177646439122785,0.0181004700358074
"10",-0.081447963800905,-0.0196077925494218,-0.0307648073605521,-0.00990099009900991,-0.0143905290569906,-0.00808851240084374,-0.054412482858672,0.00660172922356894,-0.00703032727272723,-0.00811447573530089
"11",-0.0394088669950738,-0.00789473684210518,-0.0121625630376744,-0.0499999999999999,-0.0025328663945382,-0.0127500476648094,0.00811504544050723,-0.0306058400999376,-0.0065917970359326,0.0142273713942109
"12",-0.0769230769230769,0.0100796286472147,-0.00450450450450446,0.0345864661654134,-0.00776694582973603,-0.0172696667513769,0.00548858278857178,-0.00708766085413459,0.00614401587967595,0.0206906413358985
